FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
605,Jackson Elementary,1730 Jefferson Davis Highway,Camden,0,0,0,0
606,James Byrnes Freshman Acad,100 Rowe Street,Duncan,< 5,0,< 5,0
607,James F. Byrnes High,150 East Main Street,Duncan,< 5,< 5,< 5,0
608,James H. Hendrix  Elementary,1084 Springfield Road,Boiling Springs,0,0,0,0
609,James H. Spann Elementary,901 John McKissick Way,Summerville,< 5,0,< 5,0
610,Jackson Creek Elementary,7150 Trenholm Rd Exn,Columbia,0,0,0,0
611,Jackson Middle,18371 Atomic Road,Jackson,0,0,0,0
612,James B. Edwards Elementary,885 Von Kolnitz Road,Mt. Pleasant,0,0,0,0
613,James Island Elementary,1872 Grimball Road,Charleston,< 5,0,< 5,0
614,James Island Charter High,1000 Fort Johnson Road,Charleston,0,0,0,0
615,James Island Middle,1484 Camp Rd,Charleston,0,0,0,0
616,James M. Brown Elementary,225 Coffee Road,Walhalla,< 5,0,< 5,0
617,James Simons Montessori,741 King Street,Charleston,0,0,0,0
618,Jane Edwards Elementary,1960 Jane Edwards Road,Edisto Island,0,0,0,0
619,Jefferson Elementary,170 Flint Drive,Warrenville,< 5,0,< 5,0
620,Jefferson Elementary,809 West Elizabeth Street,Jefferson,0,< 5,0,< 5
621,Jefferson Elementary,1543 Chester Highway,York,0,0,0,0
622,Jennie Moore Elementary,942 Whipple Road,Mt. Pleasant,0,0,0,0
623,Jerry Zucker Middle Sch of Sci,6401 Dorchester Road,North Charleston,< 5,< 5,< 5,< 5
624,Jesse Boyd Elementary,1505 Fernwood-Glendale Road,Spartanburg,< 5,0,< 5,0
625,Jesse S. Bobo Elementary,495 Powell Mill Road,Spartanburg,0,0,0,0
626,Joanna-Woodson Elementary,510 South Elllis Street,Joanna,0,0,0,0
627,John C. Calhoun Elementary,750 North Calhoun Shores Parkway,Calhoun Falls,0,0,0,0
628,John de la Howe School for Agriculture,192 Gettys Road,McCormick,0,0,0,0
629,John E. Ewing Middle,171 East Junior High Road,Gaffney,0,0,0,0
630,Malcolm C. Hursey Montessori,4542 Simms Street,North Charleston,< 5,< 5,< 5,< 5
631,Grassy Pond Elementary,1146 Boiling Springs Highway,Gaffney,0,0,0,0
632,Mamie Whitesides Elementary,1565 Rifle Range Road,Mt. Pleasant,< 5,0,< 5,0
633,Gray Collegiate Acad,3833 Leaphart Road,West Columbia,0,0,0,0
634,McColl Elementary/Middle,700 North Main Street,McColl,< 5,< 5,< 5,< 5
635,Long Middle,1010 West Green Street,Cheraw,0,0,0,0
636,Gray Court-Owings Elem/Middle,9210 Highway 14,Gray Court,0,< 5,0,< 5
637,McCormick Elementary,1123 Sandy Bluff Road,Mullins,0,0,0,0
638,Manchester Elementary,200 East Clark Street,Pinewood,0,< 5,0,0
639,Great Falls Elementary,301 Dearborn Street,Great Falls,0,0,0,0
640,McCormick High,6981 SC Highway 28 South,McCormick,0,0,0,0
641,Manning Early Chood Center,2759 Raccoon Road,Manning,< 5,0,< 5,0
642,Great Falls High,409 Sunset Avenue,Great Falls,0,0,0,0
643,Greeleyville Elementary,7 Varner Avenue,Greeleyville,0,0,0,0
644,McCormick Middle,6979 Highway 28 South,McCormick,0,0,0,0
645,McCracken Middle,300 Webber Road,Spartanburg,< 5,0,< 5,0
646,McDonald Elementary,532 McDonald Road,Georgetown,0,0,0,0
647,GREEN Charter School,211 Century Drive,Greenville,0,0,0,0
648,Manning Elementary,311 West Boyce Street,Manning,0,0,0,0
649,Green Charter Sch Spartanburg,8150 Warren H. Abernathy Highway,Spartanburg,< 5,0,0,0
650,McDonald Green Elementary,2763 Lynwood Drive,Lancaster,0,0,0,0
651,Manning High,2155 Paxville Highway,Manning,0,0,0,0
652,GREEN Charter Sch of Midlands,7820 Broad River Rd,Irmo,0,0,0,0
653,McKissick Elementary,156 McKissick Road,Easley,0,0,0,0
654,Manning Junior High,1101 W.L. Hamilton Road,Manning,0,0,0,0
655,Greenbrier Elementary,853 Log Shoals Road,Greenville,0,0,0,0
656,McLaurin Elementary,1400 McMillan Lane,Florence,0,0,0,0
657,Manning Primary,125 North Boundary Street,Manning,0,0,0,0
658,Green Sea Floyds Elementary,5000 Tulip Grove Road,Green Sea,0,0,0,0
659,McLees Elementary,4900 Dobbins Bridge Road,Anderson,0,< 5,0,< 5
660,Marion-Mullins Avc            ,,,0,0,0,0
661,Green Sea Floyds High,4990 Tulip Grove Road,Green Sea,0,0,0,0
662,Meadow Glen Elementary,510 Ginny Lane,Lexington,0,0,0,0
663,Marion High,1205 South Main Street,Marion,0,< 5,0,< 5
664,Greendale Elementary,505 South Boundary Avenue,New Ellenton,< 5,0,< 5,0
665,Meadow Glen Middle,440 Ginny Lane,Lexington,< 5,0,< 5,0
666,Marlboro County High,951 Fayetteville Avenue,Bennettsville,< 5,0,< 5,0
667,Greenville Middle Academy,339 Lowndes Avenue,Greenville,0,0,0,0
668,Meadowfield Elementary,525 Galway Lane,Columbia,0,0,0,0
669,J. K. Gourdin Elementary,1649 Highway 45,Pineville,0,0,0,0
670,Greenville Senior High Acad,1 Vardry Street,Greenville,0,0,0,0
671,Mellichamp Elementary,350 Murray Road,Orangeburg,0,0,0,0
672,Macedonia Middle,200 Macedonia Foxes Circle,Moncks Corner,< 5,0,< 5,0
673,Greenville Tech Charter Hi Sch,506 S Pleasantburg Dr,Greenville,< 5,0,< 5,0
674,Meeting Street Elementary,2685 Leeds Street,North Charleston,0,0,0,0
675,Marshall Elementary,1441 Marshall Street,Orangeburg,0,< 5,0,< 5
676,Greenwood Early Chood Ctr,1125 East Cambridge Avenue,Greenwood,< 5,0,< 5,0
677,Memminger Elementary,20 Beaufain Street,Charleston,0,0,0,0
678,Marshall Primary,218 Bannister Street,Belton,< 5,0,< 5,0
679,Greenwood Elementary,2300 East Howe Springs Road,Florence,0,0,0,0
680,Merriwether Elementary,565 Spring Haven Drive,North Augusta,0,0,0,0
681,Mary Bramlett Elementary,301 Spruce Street,Gaffney,0,< 5,0,0
682,Greenwood High,1816 Cokesbury Road,Greenwood,5,0,5,0
683,Merriwether Middle,430 Murrah Road,North Augusta,0,0,0,0
684,Mary Ford Elementary,3180 Thomasina McPerson Boulevard,North Charleston,0,0,0,0
685,Greer High,3000 East Gap Creek Road,Greer,0,< 5,0,< 5
686,Merrywood Elementary,329 Deadfall Road West,Greenwood,< 5,0,0,0
687,Mary H. Wright Elementary,457 South Church Street,Spartanburg,< 5,0,< 5,0
688,Greer Middle,3032 East Gap Creek Road,Greer,< 5,0,< 5,0
689,Marrington Elementary,101 Gearing Street,Goose Creek,0,0,0,0
690,Maryville Elementary,2125 Poplar Street,Georgetown,0,0,0,0
691,Greer Middle Coll Charter Hi,138 West McElhaney Road,Taylors,0,0,0,0
692,Meyer Ctr for Special Children,1132 Rutherford Rd,Greenville,0,< 5,0,< 5
693,Mathews Elementary,725 Marshall Road,Greenwood,0,0,0,0
694,Greg Mathis Charter High,2872 Azalea Drive,Charleston,0,0,0,0
695,Michael C. Riley Elementary,200 Burnt Church Road,Bluffton,0,0,0,0
696,Mid-Carolina High,377 Cy Schumpert Road,Prosperity,7,0,6,0
697,Meeting St Acad/Spartanburg,201 E Broad St #110,Spartanburg,< 5,0,< 5,0
698,Middle School of Pacolet,850 Sunny Acres Road,Pacolet,0,0,0,0
699,Midland Elementary,3011 Nichols Highway,Galivants Ferry,< 5,0,< 5,0
700,Midland Valley High,227 Mustang Drive,Graniteville,< 5,0,< 5,0
701,Midland Park Primary,2415 Midland Park Road,North Charleston,0,0,0,0
702,Midlands Arts Conservatory,3806 N Main St,Columbia,< 5,0,< 5,0
703,Midlands Middle College,1260 Lexington Drive,West Columbia,0,0,0,0
704,Midlands STEM Institute,112 Crane Street,Winnsboro,0,0,0,0
705,Midway Elementary ,1221 Harriett Circle,Anderson,0,0,0,0
706,Midway Elementary,1892 Highway 1 North,Cassatt,0,0,0,0
707,Midway Elementary,180 Midway Road,Lexington,< 5,0,< 5,0
708,Mill Creek Elementary,925 Universal Drive,Columbia,0,0,0,0
709,McCrorey-Liston School of Tech,1978 SC Highway 215 South,Blair,0,0,0,0
710,Military Magnet Academy,2950 Carner Avenue,North Charleston,0,0,0,0
711,Millbrook Elementary,255 East Pine Log Road,Aiken,0,0,0,0
712,Mid-Carolina Middle,6834 US Highway 76,Prosperity,0,0,0,0
713,Millwood Elementary,24 Pinewood Road,Sumter,0,0,0,0
714,Minnie Hughes Elementary,8548 Willtown Road,Younges Island,< 5,< 5,< 5,0
715,Mitchell Elementary,2 Perry Street,Charleston,0,0,0,0
716,Mitchell Road Elementary,4124 East North Street Extension,Greenville,0,0,0,0
717,Monarch Elementary,224 Five Forks Road,Simpsonville,0,0,0,0
718,Monarch Elementary,218 Monarch School Drive,Union,0,0,0,0
719,Monaview Elementary,10 Monaview Street,Greenville,0,0,0,0
720,Matilda Dunston Elementary,1825 Remount Road,North Charleston,0,0,0,0
721,Mauldin Elementary,1194 Holland Road,Simpsonville,< 5,0,< 5,0
722,Mauldin High,701 East Butler Road,Mauldin,< 5,0,< 5,0
723,Mauldin Middle,1190 Holland Road,Simpsonville,< 5,0,< 5,0
724,May River High,601 New riverside Rd,Bluffton,< 5,< 5,< 5,< 5
725,Mayo High for Math/Sci/Tech,405 Chestnut Street,Darlington,0,0,0,0
726,McBee Elementary,284 East Maple Avenue,McBee,0,0,0,0
727,Mayo Elementary,1300 Springdale Road,Mayo,0,0,0,0
728,Gregg Middle,500 Green Wave Boulevard,Summerville,0,< 5,0,< 5
729,Griggs Road Elementary,100 Griggs Road,Clover,0,0,0,0
730,Grove Elementary,1220 Old Grove Road,Piedmont,0,0,0,0
731,Guinyard-Butler Middle,779 Allen Street,Barnwell,< 5,0,< 5,0
732,H. B. Rhame Elementary,1300 Arrowwood Drive,Columbia,0,0,0,0
733,Swofford Career Center,5620 Highway 11,Inman,0,0,0,0
734,H. E. Corley Elementary,1500 Chadford Road,Irmo,0,0,0,0
735,H. E. McCracken Middle,250 H. E. McCracken Circle,Bluffton,0,0,0,0
736,Hagood Elementary,435 Sparks Ln,Pickens,0,0,0,0
737,Hammond Hill Elementary,901 West Woodlawn Avenue,North Augusta,0,< 5,0,0
738,Hampton Elementary,505 Hoover Street,Hampton,0,0,0,0
739,Goose Creek High,1137 Red Bank Road,Goose Creek,0,< 5,0,< 5
740,Goose Creek Primary,200 Foster Creek Road,Goose Creek,< 5,5,< 5,< 5
741,Hanahan Elementary,4000 Mabeline Road,Hanahan,0,< 5,0,0
742,Hand Middle,2600 Wheat Street,Columbia,0,< 5,0,0
743,Hannah Pamplico High,2055 South Pamplico Highway,Pamplico,0,0,0,0
744,Hannah-Pamplico Elem/Mid,2131 South Pamplico Highway,Pamplico,< 5,0,< 5,0
745,Harbison West Elementary,257 Crossbow Drive,Columbia,0,0,0,0
746,Hardeeville Elementary,150 Hurricane Alley,Hardeeville,0,0,0,0
747,Hardeeville-Ridgeland Middle,150 Hurricane Alley,Hardeeville,0,0,0,0
748,Harleyville Elementary,1650 East Main Street,Dorchester,0,0,0,0
749,Harleyville-Ridgeville Middle,1650 East Main Street,Dorchester,0,< 5,0,< 5
750,Harbor View Elementary,1576 Harborview Drive,Charleston,< 5,0,< 5,0
751,Lamar Elementary,214 North Darlington Avenue,Lamar,0,0,0,0
752,Lamar High,216 North Darlington Avenue,Lamar,< 5,0,< 5,0
753,Lamar-Spaulding Elem.,5232 Lamar Highway 401,Lamar,0,0,0,0
754,Lambs Elementary,6800 Dorchester Road,North Charleston,0,0,0,0
755,Lancaster CSD Career Center,300 Catawba St,Lancaster,0,0,0,0
756,Lancaster High,617 Normandy Road,Lancaster,< 5,0,< 5,0
757,Landrum Middle,104 Redland Road,Landrum,0,0,0,0
758,Langford Elementary,480 Langford Road,Blythewood,0,0,0,0
759,Langley-Bath-Clearwater Middle,29 Lions Trail,Warrenville,< 5,0,< 5,0
760,Langston Charter Middle,1950 Woodruff Road,Greenville,0,0,0,0
761,Larne Elementary,3598 Filbert Highway,Clover,< 5,< 5,< 5,< 5
762,Latta Elementary,300 Viking Drive,Latta,0,0,0,0
763,Latta High,618 North Richardson Street,Latta,< 5,0,< 5,0
764,Latta Middle,612 North Richardson Street,Latta,0,0,0,0
765,Laurel Hill Primary,3100 Thomas Cario Boulevard,Mt. Pleasant,0,0,0,0
766,Laurens District 55 High,5058 Highway 76 West,Laurens,0,< 5,0,< 5
767,Laurens Elementary,301 Henry Street,Laurens,0,0,0,0
768,Laurens Middle,1035 West Main Street,Laurens,0,0,0,0
769,Lead Academy,804 Mauldin Road,Greenville,0,0,0,0
770,League Academy,125 Twin Lake Drive,Greenville,0,0,0,0
771,Leaphart Elementary,120 Piney Grove Road,Columbia,0,0,0,0
772,Leavelle McCampbell Middle,1120 Weldon Way,Graniteville,0,0,0,0
773,Lee Central High,1800 Wisacky Highway,Bishopville,0,0,0,0
774,Lee County Career & Tech Ctr,1804 Wisacky Highway,Bishopville,0,0,0,0
775,Lee Central Middle,41 Charlene Lane,Bishopville,0,0,0,0
776,Landrum High,18818 Asheville Highway,Landrum,< 5,0,< 5,0
777,Legacy Early College,900 Woodside Ave,Greenville,0,0,0,0
778,Legion Collegiate Academy,505 University Drive,Rock Hill,< 5,0,< 5,0
779,Lemira Elementary,952 Fulton Street,Sumter,0,0,0,0
780,Leslie M. Stover Middle,1649 Smyrna Road,Elgin,0,0,0,0
781,Lesslie Elementary,250 Neely Store Road,Rock Hill,< 5,0,< 5,0
782,Lewisville Middle,3595 Lancaster Highway,Richburg,0,0,0,0
783,Lexington Elementary,116 Azalea Drive,Lexington,0,< 5,0,< 5
784,Lexington High,2463 Augusta Highway,Lexington,7,0,7,0
785,Lexington Four Early Chood Ctr,135 Lewis Rast Raod,Swansea,0,0,0,0
786,Lexington Middle,702 North Lake Drive,Lexington,0,0,0,0
787,Lexington Technology Center,2421 Augusta Highway,Lexington,0,0,0,0
788,Lexington Two Innovation Ctr,715 9th St,West Columbia,0,0,0,0
789,Lewisville Elementary,4006 Lewisville High School Road,Richburg,0,0,0,0
790,Lewisville High,3971 Lewisville High School Road,Richburg,0,0,0,0
791,Liberty Elementary,251 North Hillcrest Street,Liberty,0,0,0,0
792,Liberty High,124 Red Devil Drive,Liberty,< 5,0,< 5,0
793,Liberty Middle,125 Falcon Lane,Liberty,0,0,0,0
794,Limestone-Central Elementary,727 Pacolet Highway,Gaffney,0,0,0,0
795,Little Mountain Elementary,692 Mill Street,Little Mountain,< 5,< 5,< 5,< 5
796,Lloyd-Kennedy Charter,130 Avery Lane,Aiken,0,0,0,0
797,Lockett Elementary,1349 Dorange Road,Branchville,0,0,0,0
798,Logan Elementary,815 Elmwood Avenue,Columbia,0,0,0,0
799,Lone Oak Elementary,7314 Lone Oak Road,Spartanburg,0,< 5,0,< 5
800,Long Cane Primary,815 East Greenwood Street,Abbeville,0,0,0,0
801,North Myrtle Beach High,3750 Sea Mountain Highway,Little River,< 5,0,< 5,0
802,Palmetto High,804 North Hamilton Street,Williamston,0,0,0,0
803,Palmetto Middle,803 North Hamilton Street,Williamston,< 5,0,0,0
804,North Myrtle Beach Middle,11240 Highway 90,Little River,0,0,0,0
805,Palmetto Middle,305 O'Neal Street,Mullins,< 5,0,< 5,0
806,North Pointe Elementary,3325 Highway 81 North,Anderson,0,0,0,0
807,Palmetto Youth Acad Ctr,1209 North Douglas Street,Florence,0,0,0,0
808,North Springs Elementary,1300 Clemson Road,Columbia,0,0,0,0
809,Oceanside Collegiate Acad,580 Faison Rd,Mt. Pleasant,< 5,0,< 5,0
810,Myrtle Beach High,3302 Robert Grissom Parkway,Myrtle Beach,< 5,0,< 5,0
811,Pate Elementary,1010 Indian Branch Road,Darlington,0,0,0,0
812,North Vista Elementary,1100 North Irby Street,Florence,< 5,< 5,< 5,< 5
813,Pattison's Academy for Comp Ed,721 Wappoo Road,Charleston,0,0,0,0
814,Northside Elementary,1929 Industrial Road,Walterboro,0,< 5,0,< 5
815,Paul Knox Middle,1804 Wells Road,North Augusta,< 5,< 5,< 5,< 5
816,Northside Elementary,840 North Annafrel Street,Rock Hill,0,0,0,0
817,Pauline Glenn Springs Elem,2957 Highway 56,Pauline,0,0,0,0
818,Northside Elementary,710 North Townville Street,Seneca,0,0,0,0
819,Pee Dee Elementary,6555 Highway 134,Conway,0,0,0,0
820,Northside Middle,157 Cougar Drive,West Columbia,0,0,0,0
821,OCSD5 High Sch for Health Prof,130 Howard Hill Drive,Orangeburg,0,0,0,0
822,Northside Middle,431 Deadfall Road West,Greenwood,< 5,0,< 5,0
823,Pee Dee Math Sci & Tech,101 Docs Drive,Bishopville,0,0,0,0
824,Northwest Elementary,840 Green River Road,Gaffney,0,0,0,0
825,Pelham Road Elementary,100 All Star Way,Greenville,0,< 5,0,0
826,Northwest Middle,1606 Geer Highway,Travelers Rest,< 5,0,< 5,0
827,Pelion Elementary,1202 Pine Street,Pelion,0,< 5,0,< 5
828,North Middle/High,692 Cromer Avenue,North,0,0,0,0
829,Pelion High,600 Lydia Drive,Pelion,< 5,< 5,< 5,< 5
830,Northwestern High,2503 West Main Street,Rock Hill,0,0,0,0
831,Pelion Middle,758 Magnolia Street,Pelion,0,0,0,0
832,Northwood Middle,710 Ike's Road,Taylors,0,0,0,0
833,Pendergrass Fairwold Sch,5935 Token Street,Columbia,0,0,0,0
834,Northwoods Middle,7763 Northside Drive,North Charleston,0,0,0,0
835,Pendleton Elementary,902 East Queen Street,Pendleton,0,0,0,0
836,Nursery Road Elementary,6706 Nursery Road,Columbia,0,0,0,0
837,Pendleton High,7324 Highway 187,Pendleton,0,< 5,0,0
838,O. P. Earle Elementary,100 Redland Road,Landrum,0,0,0,0
839,Petersburg Primary,326 North Arnold Street,Pageland,0,0,0,0
840,Oak Grove Elementary,479 Oak Drive,Lexington,0,0,0,0
841,Pepperhill Elementary,3300 Creola Road,North Charleston,0,< 5,0,< 5
842,Oak Pointe Elementary,1 River Bottom Road,Irmo,0,0,0,0
843,Palmetto Scholars Academy,7499 Dorchester Road,North Charleston,0,0,0,0
844,Oakbrook Elementary,306 Old Fort Drive,Ladson,0,0,0,0
845,Nexton Elementary,200 Scholar Way,Summerville,0,0,0,0
846,Oakbrook Middle,286 Old Fort Road,Ladson,0,0,0,0
847,Philip Simmons Elementary,2095 Seven Sticks Dr,Wando,0,0,0,0
848,Oakdale Elementary,1129 Oakdale Road,Rock Hill,0,0,0,0
849,Philip Simmons Middle,2095 Seven Sticks Dr,Wando,0,0,0,0
850,Oakland Elementary,151 Mud Creek Road,Inman,< 5,0,< 5,0
851,Phoenix Charter High,1423 Hotel Street,Alcolu,0,0,0,0
852,Oakland Primary,5415 Oakland Drive,Sumter,0,0,0,0
853,Pickens Cty Career & Tech Ctr,990 Chastain Road,Liberty,< 5,0,< 5,0
854,Robert Anderson Middle,2302 Dobbins Bridge Road,Anderson,< 5,0,< 5,0
855,Oakland Elementary,505-A Arlington Drive,Charleston,0,0,0,0
856,Powdersville Elementary,139 Hood Road,Greenville,0,0,0,0
857,Montessori Community School,2122 Wood Avenue,Charleston,0,0,0,0
858,Springfield Elementary,1608 Florida Avenue,Greenwood,0,0,0,0
859,Paris Elementary,32 East Belvue Road,Taylors,0,0,0,0
860,Pickens Elementary,567 Hampton Avenue,Pickens,0,0,0,0
861,Pickens High,150 Blue Flame Drive,Pickens,0,0,0,0
862,Pickens Middle,140 Torch Lane,Pickens,0,0,0,0
863,Pine Grove Elementary,111 Huffstetler Drive,Columbia,0,0,0,0
864,Pine Ridge Middle,735 Pine Ridge Drive,West Columbia,< 5,0,< 5,0
865,Pine St. Elementary,500 South Pine Street,Spartanburg,0,0,0,0
866,Pine Tree Hill Elementary,938 Bishopville Highway,Camden,0,0,0,0
867,Pinecrest Elementary,220 East Northside Drive,Greenwood,< 5,0,< 5,0
868,Pinehurst Elementary,7753 Northside Drive,North Charleston,0,0,0,0
869,Plain Elementary,506 Neely Ferry Road,Simpsonville,0,0,0,0
870,Plainview Elementary,16002 Highway 102,Patrick,0,0,0,0
871,Pleasant Hill Elementary,127 Schoolhouse Road,Hemingway,0,0,0,0
872,Pleasant Hill Elementary,664 Rawl Road,Lexington,0,0,0,0
873,Pleasant Hill Middle,660 Rawl Road,Lexington,< 5,0,< 5,0
874,Pleasant Knoll Elem,2346 Pleasant Road,Fort Mill,0,< 5,0,< 5
875,Pleasant Knoll Middle,2320 Pleasant Rd,Fort Mill,0,0,0,0
876,Pocalla Springs Elementary,2060 Bethel Church Road,Sumter,0,< 5,0,0
877,Polaris Tech,1508 Grays Hwy,Ridgeland,0,0,0,0
878,Polo Road Elementary,1250 Polo Road,Columbia,0,0,0,0
879,Pontiac Elementary,500 Spears Creek Church Road,Elgin,0,0,0,0
880,Port Royal Elementary,1214 Paris Avenue,Port Royal,0,0,0,0
881,Plantersville Elementary,16689 Exodus Drive,Georgetown,0,0,0,0
882,SC Sch For Deaf Elem/Middle,355 Cedar Springs Road,Spartanburg,0,0,0,0
883,Morningside Middle,1999 Singley Lane,North Charleston,0,0,0,0
884,Springfield Elementary,1691 Springfield Parkway,Fort Mill,0,0,0,0
885,Powdersville High,145 Hood Road,Greenville,0,0,0,0
886,Robert E. Cashion Elementary,1500 Fork Shoals Road,Greenville,< 5,0,< 5,0
887,Oakridge Elementary,5670 Oakridge Rd,Clover,0,< 5,0,< 5
888,SC School For Deaf High,355 Cedar Springs Road,Spartanburg,0,0,0,0
889,Mossy Creek Elementary,421 West Five Notch Road,North Augusta,0,< 5,0,< 5
890,Springfield Middle,1711 Springfield Parkway,Fort Mill,< 5,0,< 5,0
891,Powdersville Middle,135 Hood Road,Greenville,< 5,0,< 5,0
892,River Oaks Elementary,700 Augusta Plantation Drive,Myrtle Beach,0,0,0,0
893,Oakridge Middle,5670 Oakridge Road,Clover,< 5,0,< 5,0
894,SC Connections Academy,"201 Executive Center Drive, Suite 250",Columbia,0,0,0,0
895,Mossy Oaks Elementary,2510 Mossy Oaks Boulevard,Beaufort,0,0,0,0
896,Springfield Elementary,2130 Pinehurst Avenue,Charleston,0,0,0,0
897,Prestige  Preparatory Academy,2415 Ave F,North Charleston,0,0,0,0
898,Robert E. Howard Middle,1255 Belleville Road,Orangeburg,0,0,0,0
899,Oakview Elementary,515 Godfrey Road,Simpsonville,0,0,0,0
900,SC Connections Academy,"201 Executive Center Drive, Suite 250",Columbia,0,0,0,0
901,Mount Gallant Elem,4664 Mount Gallant Road,Rock Hill,0,0,0,0
902,St. Andrew's Sch of Math & Sci,505B Arlington Drive,Charleston,0,0,0,0
903,Pomaria-Garmany Elementary,7288 US Highway 176,Pomaria,0,< 5,0,0
904,River Ridge Elementary,5960 Reidville Road,Moore,0,< 5,0,< 5
